会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
三陽商会,8011,繊維製品,プライム（内国株式）,2025-02-28,東京都,34887942144.0,0.90588146,60526000000.0,2715000000.0,-0.01987,4007000000.0,0.05449,0.082440004,0.6889524176999842,,17717000000.0,12036000000.0,38218000000.0,7626000000.0,23714000000.0,6298000000.0,24909600000.0,0.7139888015517113
長瀬産業,8012,卸売業,プライム（内国株式）,2025-03-31,,328487239680.0,0.85645956,944961000000.0,39083000000.0,0.0432,25521000000.0,0.0,,0.49378884677588,10.283467,401685000000.0,269576000000.0,560126000000.0,172774000000.0,66310000000.0,72028000000.0,208860600000.0,0.6358256113798033
ナイガイ,8013,繊維製品,スタンダード（内国株式）,2025-01-31,東京都,2039572480.0,0.34015688,13162000000.0,64000000.0,-0.036730003,100000000.0,-0.00137,-0.00294,0.5520693135935397,,5325000000.0,3624000000.0,8548000000.0,1667000000.0,3537000000.0,2921000000.0,5267700000.0,2.5827471451271986
蝶理,8014,卸売業,プライム（内国株式）,2025-03-31,大阪府,92052578304.0,1.0062921,311546000000.0,14493000000.0,0.04682,11658000000.0,0.032679997,0.113079995,0.6298639064596512,,53976000000.0,50556000000.0,121566000000.0,1403000000.0,22812000000.0,10382000000.0,74857400000.0,0.8132026433065938
豊田通商,8015,卸売業,プライム（内国株式）,2025-03-31,愛知県,4547801513984.0,1.7002085,10309550000000.0,499972000000.0,0.04869,362506000000.0,0.03523,,0.371842880627625,12.243854,4311620000000.0,2555043000000.0,4240816000000.0,1853814000000.0,951884000000.0,67956000000.0,-23234800000.0,-0.005109018044995
オンワードホールディングス,8016,繊維製品,プライム（内国株式）,2025-02-28,東京都,87010304000.0,1.0420935,208393000000.0,10157000000.0,0.0073,8516000000.0,0.04085,0.11188,0.47029874231383,10.961013,94932000000.0,62728000000.0,80101000000.0,52074000000.0,13505000000.0,13789000000.0,-5178700000.0,-0.0595182382077414
三共生興,8018,卸売業,スタンダード（内国株式）,2025-03-31,大阪府,24614834176.0,0.4901733,22594000000.0,1776000000.0,0.04201,2108000000.0,0.09038,0.040999997,0.7280122595706285,,18645000000.0,6905000000.0,16212000000.0,5591000000.0,9013000000.0,31166000000.0,19383200000.0,0.7874601088679705
兼松,8020,卸売業,プライム（内国株式）,2025-03-31,東京都,248312004608.0,1.3944181,1050936000000.0,42193000000.0,0.04241,27469000000.0,0.02568,,0.2523323135128391,8.468839,501210000000.0,368387000000.0,521367000000.0,203256000000.0,56779000000.0,6768000000.0,24894600000.0,0.1002553220868241
美津濃,8022,その他製品,プライム（内国株式）,2025-03-31,大阪府,213922856960.0,1.3683437,240335000000.0,20782000000.0,0.098900005,15243000000.0,0.06166,0.09939,0.7156202655632807,4.366696,61359000000.0,42571000000.0,147421000000.0,16022000000.0,32399000000.0,9569000000.0,92760300000.0,0.433615656214542
ＤＡＩＫＯ　ＸＴＥＣＨ,8023,情報・通信業,スタンダード（内国株式）,2025-03-31,東京都,13189990400.0,1.0784659,42690259000.0,2410285000.0,-0.01673,1683249000.0,0.03234,0.11447,0.4718782761591346,,14120258000.0,9712760000.0,21490511000.0,2360438000.0,8464484000.0,2359370000.0,9021812000.0,0.6839892772022033
