会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
冨士ダイス,6167,機械,プライム（内国株式）,2025-03-31,東京都,16274412544,0.8198152,16595000000.0,488000000.0,0.04291,426000000.0,0.0272,0.02269,0.8103347263992501,13.409462,4856000000.0,3395000000.0,14909000000.0,68000000.0,6945000000.0,183000000.0,10181100000.0,0.6255894013055198
土木管理総合試験所,6171,サービス業,スタンダード（内国株式）,2024-12-31,長野県,6200135168,1.256361,7346050000.0,581077000.0,0.03875,362559000.0,0.04828,0.07366,0.6932903230028772,13.7539425,2155770000.0,1282304000.0,4027337000.0,671347000.0,2270637000.0,353829000.0,2119247300.0,0.3418066288196122
アクアライン,6173,サービス業,グロース（内国株式）,2025-02-28,広島県,2062089472,57.569298,3462536000.0,-399566000.0,-0.26670998,-346761000.0,-0.12973,,-0.5339760633436745,1.9526626,1258882000.0,1186155000.0,727264000.0,452784000.0,74428000.0,,-531618000.0,-0.2578054964241629
ブランジスタ,6176,サービス業,グロース（内国株式）,2024-09-30,東京都,10547586048,1.9456306,4822452000.0,951385000.0,0.18593,606804000.0,0.12527001,0.18330999,0.7184223684634988,14.007421,1322739000.0,1172209000.0,3064457000.0,440199000.0,1380070000.0,1597540000.0,2859996000.0,0.2711517106364165
ＡｐｐＢａｎｋ,6177,サービス業,グロース（内国株式）,2024-12-31,東京都,4584392704,94.13203,994440000.0,-235096000.0,-1.62821,-239323000.0,-0.85918,-4.78409,0.2513637363183021,,211075000.0,211075000.0,245860000.0,,70832000.0,,34785000.0,0.00758770075906656
日本郵政,6178,サービス業,プライム（内国株式）,2025-03-31,東京都,4046035615744,0.45550373,11468366000000.0,,0.06708,370564000000.0,0.031489998,0.040260002,0.03058912204080548,11.327121,281860113000000.0,,,3418135000000.0,67122254000000.0,191554546000000.0,,
ＧＭＯメディア,6180,サービス業,グロース（内国株式）,2024-12-31,東京都,9576793088,3.2977946,6606247000.0,762559000.0,0.12923999,571353000.0,0.100609995,0.25611,0.47989017143106605,,3049949000.0,3015246000.0,4772239000.0,24611000.0,1753457000.0,206459000.0,1866811300.0,0.19493073337244476
タメニー,6181,サービス業,グロース（内国株式）,2025-03-31,東京都,3790227456,20.658264,5909037000.0,-56208000.0,0.02776,-848709000.0,-0.042290002,-1.22481,-0.19358259004746797,6.4480877,4284459000.0,2344093000.0,2292032000.0,3406062000.0,1375950000.0,,-1992427000.0,-0.5256747841995475
メタリアル,6182,サービス業,グロース（内国株式）,2025-02-28,東京都,5955500544,3.1414757,4084762000.0,117322000.0,-0.05487,299068000.0,0.05263,0.11547,0.3976484955562977,23.177965,2963364000.0,2120879000.0,3645664000.0,1684228000.0,2903833000.0,53030000.0,719421000.0,0.12079941806483362
ベルシステム２４ホールディングス,6183,サービス業,プライム（内国株式）,2025-02-28,東京都,94195523584,1.3016005,143607000000.0,11587000000.0,0.08279,8003000000.0,0.06083,0.12753001,0.4022635927367799,10.882075,103576000000.0,57413000000.0,28042000000.0,54046000000.0,6992000000.0,7339000000.0,-70396700000.0,-0.7473465545018484
鎌倉新書,6184,サービス業,プライム（内国株式）,2025-01-31,東京都,21207169024,6.366591,7061312000.0,910917000.0,0.17438999,687402000.0,0.106879994,0.25636,0.6853077457976919,19.656357,1615609000.0,1145232000.0,3452752000.0,67378000.0,2085473000.0,458273000.0,2157934100.0,0.10175493473729952
ＳＭＮ,6185,サービス業,スタンダード（内国株式）,2025-03-31,東京都,6044388352,1.5092083,11640954000.0,239157000.0,0.02565,291745000.0,0.03188,0.09636,0.6674631844601385,,1982930000.0,1860009000.0,4377902000.0,76005000.0,2476134000.0,,2394972000.0,0.3962306623146639
